LongFullText	" Yesterday I saw the most beautiful sunset of my life.
"
ShortFullText	" In order to understand the full context of this text, you need more information about its cultural and historical backgroun
"
ShortFullText	" Hello, world! How are you? I am feeling quite well today. Thanks for asking.
"
LongFullText	" For this reason, the full-text search functionality in SharePoint 2013 has been improve
"
ShortFullText	" Tomorrow, the sun will rise over the horizon and shine brightly in the sky. The text o
"
LongFullText	" Yes
"
LongFullText	" The full text of this document has been made available through an agreement between the American Psychological Association (A
"
ShortFullText	" Yes
"
ShortFullText	" A full-text search of this page returns more than 50 hits.
"
ShortFullText	" For this text, the length of fulltext exceeds 30 words.
"
LongFullText	" Today, the company announced its quarterly earnings.
"
ShortFullText	" A full-text search of all the words in this article would take too long to complete.
"
ShortFullText	" Yesterday, I went to the park and saw many birds flying in the sky. It was so beautiful tha
"
LongFullText	" Tomorrow, the sun will shine brightly in the sky.
"
ShortFullText	" Yesterday, I walked into the kitchen to make breakfast and saw my cat sitting on top of the fridg
"
ShortFullText	" Here's the full text of this article.
"
LongFullText	" Here are 15 full text sentences that you can use to train your machine learning model.
"
LongFullText	" Yesterday, I saw an elephant in the zoo.
"
ShortFullText	" Here's why the answer to life, universe and everything might be 42.
"
ShortFullText	" Yes
"
ShortFullText	" The full text of this article can be found at the following URL.
"
LongFullText	" The full text of this article cannot be provided because it has not been OCR'd yet.
"
LongFullText	" A full-text search of the entire collection (including all subfields) will be performed.
"
LongFullText	" For this question, the correct answer choice would be (D) Full Text.
"
LongFullText	" Today, the company announced that it will be launching its new product line next month. The word 
"
ShortFullText	" In this paper, we explore the use of machine learning algorithms to analyze and predict various aspects of human behavio
"
LongFullText	" Today, the company announced that it will be launching its new product line next month.
"
LongFullText	" Hello, this text has been shortened to 10 words.
"
LongFullText	" Hello World!
"
LongFullText	" Yes
"
LongFullText	" A full-text search of the entire collection.
"
LongFullText	" Here's the full text of this article.
"
ShortFullText	""" In this case, the Full Text field will be displayed as """"Short full text"""".""
"
ShortFullText	" Here's why you should be using it.
"
LongFullText	" The full text of this document contains 1024 words.
"
ShortFullText	" In the full text of this article, we find that the authors have used various techniques to analyze and interpre
"
LongFullText	" Tomorrow, I will meet my friend at the park.
"
LongFullText	" Here's the full text of this article.
"
ShortFullText	" Here's why you should be using it.
"
ShortFullText	" Here's the full text of this article.
"
ShortFullText	" A full text search engine that searches through the content of web pages.
"
LongFullText	" Hello World!
"
ShortFullText	" Yes
"
ShortFullText	" Hello World!
"
LongFullText	" In this paper, we explore the relationship between androgyny in media representation.
"
ShortFullText	" Hello World!
"
ShortFullText	" Tomorrow, I will go to the store and buy some milk.
"
LongFullText	" Hello, this text has been optimized by the full-text search engine.
"
LongFullText	" In the 1960s, he became involved in various civil rights and anti-war movement
"
ShortFullText	" Tomorrow, the sun will rise in the east and set in the west. 
"
ShortFullText	" Tomorrow's weather will be sunny with high temperatures.
"
ShortFullText	" In this case, the text of your article will be displayed in full.
"
LongFullText	" Here's the full text of this article.
"
LongFullText	" Yes
"
LongFullText	" Tomorrow, I will go to the store and buy some milk.
"
LongFullText	" Yes
"
ShortFullText	" Tomorrow, I will meet my best friend at the park and we are going to play on the swing
"
LongFullText	" A full text search of this record may not provide the complete document. It's important to check wit
"
LongFullText	" Hello! How are you? I am feeling great today and ready to tackle any challenge that comes m
"
LongFullText	" Today, I am going to the beach with my friends.
"
LongFullText	" Tomorrow, I will meet my friend at the park.
"
LongFullText	" A full text search of this article returns only the title, abstract and introduction.
"
LongFullText	" Tomorrow, I will go to the beach with my friends and enjoy the sunshine. We are plannin
"
LongFullText	" Here's the full text of this article.
"
ShortFullText	" Hello World!
"
LongFullText	" Today, I have the pleasure of talking to you about one of my favorite topics in linguistics – languag
"
ShortFullText	" For more than 30 years, our company has been providing high-quality products and services to customer
"
LongFullText	" The text of this article goes beyond the scope of what can be displayed here. It contains more than
"
LongFullText	" Tomorrow, I will meet my best friend at the park and we are going to play fetch with our dog
"
ShortFullText	" In the beginning, God created heaven and earth. 
"
ShortFullText	" Today, the company announced its financial results and they are impressive.
"
ShortFullText	" Yes
"
LongFullText	" Today, the sun rose over the horizon and shone brightly in the sky.
"
ShortFullText	" Here's the full text of this article.
"
ShortFullText	""" Here are 3 sentences that use the term """"Short full text"""":""
"
LongFullText	" Here's the full text of this article.
"
ShortFullText	" Tomorrow, I will go to the store and buy some milk.
"
ShortFullText	" Today, the company announced that it has developed new technology to improve crop yields. Here are some othe
"
LongFullText	" The full text of this document contains 10,234 words.
"
LongFullText	" For the first time in history, more than half of all adults worldwide are living with some for
"
ShortFullText	" Here's the full text of this article.
"
ShortFullText	" Hello, how are you today?
"
ShortFullText	" For the first time in its history, the number of people living below $1.90 per da
"
LongFullText	" Yesterday, I went to the store and bought some milk.
"
LongFullText	" Today, I will go to the store and buy some milk.
"
LongFullText	" Hello World!
"
LongFullText	" A full-text search of scholarly literature. Here are some possible matches from the Microsoft Academic datase
"
ShortFullText	" The full text of this article can be accessed by visiting the following website.
"
LongFullText	" Hello World!
"
LongFullText	" Yes
"
LongFullText	" Hello World!
"
LongFullText	" For the first time in 15 years, we will be able to see what happens inside Earth
"
LongFullText	" Yesterday, I went to the beach and saw many seagulls flying overhead. It was very win
"
LongFullText	" Today, I went to the park and played with my dog.
"
LongFullText	" In order to use the full text of an article, you must first register as member.
"
ShortFullText	" For each of the following sentences, identify whether it describes an example or non-example of long full tex
"
LongFullText	" Yes
"
ShortFullText	" The text of this document has been generated using the full-text capability, and therefore it will no
"
LongFullText	" Hello World! How are you today?
"
LongFullText	" Yesterday, I went to the beach with my friends and spent hours playing in  the waves. Here ar
"
ShortFullText	" Today, the world woke up to news that will change everything.
"
ShortFullText	" A full text search of this database did not return any results.
"
ShortFullText	" In this paper, we explore the use of artificial intelligence in education and its potential to improve learning outcome
"
LongFullText	" Here's why you should care about the length of your text.
"
ShortFullText	" The full text of this article can be found at the following URL.
"
ShortFullText	" Today, I will go to the beach and enjoy my day with sunbathing.
"
LongFullText	" In this case, the short full text refers to any information that can be displayed in its entirety withou
"
ShortFullText	" Yes
"
ShortFullText	" In the 1930s, Mahatma Gandhi led India in its struggle against Britis
"
LongFullText	" A full text search of all books, articles and other content across the entire library holding over 1 millio
"
LongFullText	" Today, the company announced that it will be launching its new product line next month.
"
ShortFullText	" Yes
"
ShortFullText	""" Here are 4 different ways to use the term """"Short"""" in relation to text.""
"
ShortFullText	" Yesterday, I walked to the store and bought some milk.
"
LongFullText	" In this case, the full text of each record in collection! 123456
"
LongFullText	" For the first time in history, more than half of all Americans are living with at least one chroni
"
LongFullText	" Hello! I'm glad you are here.
"
LongFullText	" Hello World!
"
ShortFullText	" For the first time in history, an African American has been elected to serve as President of the United State
"
LongFullText	""" In this case, the value of Full Text is set to """"Long"""".""
"
LongFullText	" Yesterday, at the grocery store , I saw my ex-boyfriend with another woman.
"
LongFullText	" The full text of the document can be found here.
"
LongFullText	" Today, I saw the most beautiful sunset of my life.
"
LongFullText	" The full text of this document has not been provided.
"
LongFullText	" The text of this article has been generated based on the fulltext and abstracts.
"
LongFullText	" Tomorrow, I will go to the store and buy some milk.
"
ShortFullText	""" The full text of this article can be found at <a href=""""https://doi.org""
"
ShortFullText	""" For the purposes of this Agreement, references to """"the Service"""" include not only use by En""
"
ShortFullText	" Tomorrow I will go to the store and buy some milk.
"
LongFullText	" For the first time in history, more than half of all Christians worldwide are living outside their home
"
LongFullText	" Yes
"
ShortFullText	" A full-text search of the internet and other sources has revealed nothing about this topic.
"
ShortFullText	" Hello, I'm glad you are here!
"
ShortFullText	" Yes
"
