LongFullText	"a man is seen today in the cit
"
ShortFullText	"a man is seen toda
"
LongFullText	"a symphony orchestra is composed of musician
"
ShortFullText	"a man is sitting on a bench and a woman is standing behind hi
"
LongFullText	"tomorrow is the day of the dead
"
ShortFullText	"yesterday was a beautiful da
"
LongFullText	"yesterday was a good da
"
ShortFullText	"a symphony of the orchestra, the cello and the trumpet ar
"
LongFullText	"a symphony of the orchestr
"
ShortFullText	"a man is seen toda
"
LongFullText	"yes i have a c646816
"
ShortFullText	"a man is seen toda
"
LongFullText	"a man is seen toda
"
ShortFullText	"a symphony is a musical composition in which the melody and harmony ar
"
LongFullText	"a man is seen toda
"
ShortFullText	"a day in the life of a soldie
"
LongFullText	"a symphony orchestra is composed of musician
"
ShortFullText	"hello i am a gir
"
LongFullText	"a symphony of the orchestra, the cello and the trumpet ar
"
ShortFullText	"yesterday was a beautiful da
"
LongFullText	"a symphony is a musical composition in which the melody and harmony ar
"
ShortFullText	"hello i am a gir
"
LongFullText	"hello i am a gir
"
ShortFullText	"yes, the number of digits in the decimal representation of the number 646816
"
ShortFullText	"a symphony orchestra, the conductor is the leader and the orchestr
"
ShortFullText	"a symphony orchestra, the conductor is the leader and the orchestr
"
LongFullText	"tomorrow is a good day to go shoppin
"
ShortFullText	"a day in the life of a soldie
"
ShortFullText	"tomorrow is the day of the dead
"
ShortFullText	"a symphony is a musical composition in which the melody and harmony ar
"
LongFullText	"tomorrow is a good day to go shoppin
"
ShortFullText	"hello i am a gir
"
ShortFullText	"a symphony is a musical composition in which the melody and harmony ar
"
ShortFullText	"yesterday was a beautiful da
"
LongFullText	"tomorrow is the day of the dead
"
ShortFullText	"yesterday was a beautiful da
"
ShortFullText	"a man is sitting on a bench and a woman is standing behind hi
"
ShortFullText	"a symphony orchestra performs at the concert hal
"
LongFullText	"a man is seen in the background of a picture of a woma
"
ShortFullText	"yesterday was a beautiful da
"
ShortFullText	"tomorrow is a good day to go shoppin
"
ShortFullText	"a man is seen toda
"
LongFullText	"tomorrow is the day of the dead
"
ShortFullText	"a lion is grazing on the gras
"
ShortFullText	"a man is seen here with a woma
"
ShortFullText	"a symphony orchestra performs at the concert hal
"
LongFullText	"tomorrow is the day of the dead
"
ShortFullText	"yesterday was a beautiful da
"
ShortFullText	"yes i have a c646816
"
LongFullText	"yes i have a c646816
"
LongFullText	"a symphony orchestra performs at the concert hal
"
ShortFullText	"a day in the life of a soldie
"
ShortFullText	"N
"
LongFullText	"a symphony is a musical composition in which the melody and harmony ar
"
ShortFullText	"tomorrow is a good day to go shoppin
"
ShortFullText	"a man is seen toda
"
ShortFullText	"a man is seen here with a woma
"
LongFullText	"yes i have a c646816
"
ShortFullText	"yesterday was a beautiful da
"
LongFullText	"a symphony orchestra, the conductor is the leader and the orchestr
"
ShortFullText	"yesterday was a beautiful da
"
LongFullText	"a symphony orchestra is composed of musician
"
ShortFullText	"a man is seen here with a woma
"
LongFullText	"a symphony orchestra performs at the concert hal
"
LongFullText	"yesterday was a beautiful da
"
LongFullText	"a symphony of the orchestra, the cello and the trumpet ar
"
ShortFullText	"a man is seen toda
"
LongFullText	"a man is seen in the background of a picture of a woma
"
LongFullText	"a man is seen toda
"
LongFullText	"yesterday was a beautiful da
"
ShortFullText	"a symphony orchestra performs at the concert hal
"
LongFullText	"a lion is a mammal
"
LongFullText	"N
"
LongFullText	"tomorrow is a good day to go shoppin
"
ShortFullText	"a symphony orchestra is composed of musician
"
LongFullText	"a symphony of the orchestra, the cello and the trumpet ar
"
LongFullText	"hello i am a gir
"
LongFullText	"a man is seen here with a woma
"
ShortFullText	"hello to all the new people who have joined u
"
ShortFullText	"a symphony orchestra, the conductor is the leader and the orchestr
"
LongFullText	"a man is seen in the background of a picture of a woma
"
LongFullText	"yesterday was a beautiful da
"
ShortFullText	"yes, the number of digits in the decimal representation of the number 646816
"
ShortFullText	"a man is seen toda
"
ShortFullText	"tomorrow is the day of the dead
"
LongFullText	"hello i am a gir
"
