HardlyReadableText	" Yesterday, C6468168 was the only one who knew the answer to my questio
"
StandardReadableText	" A unique identifier for each record in the database.
"
HardlyReadableText	" Yesterday, C6468168 was the only one who knew the answer to my questio
"
HardlyReadableText	" Tomorrow, I will be late for my meeting because I have a lot of work to do.<eos
"
HardlyReadableText	" Hello, world!
"
HardlyReadableText	" The answer should be:
"
EasilyReadableText	" The answer should be:
"
HardlyReadableText	" Tomorrow, I will be late for my meeting because I have a lot of work to do.<eos
"
EasilyReadableText	" Here's the sentence:
"
StandardReadableText	" Yes.
"
StandardReadableText	" In the context of chemical reactions, what is the difference between C6468168 an
"
HardlyReadableText	" Yes, it is true.
"
HardlyReadableText	""" For example, the following sentence could be generated from the input """"C646816""
"
HardlyReadableText	" In the context of chemical reactions, what is the difference between C6468168 an
"
HardlyReadableText	" The answer should be:
"
EasilyReadableText	" Yesterday, C6468168 was the only one who knew the answer to the questio
"
HardlyReadableText	" Today's news is about C6468168.
"
EasilyReadableText	" In the context of chemical reactions, what is the difference between C6468168 an
"
StandardReadableText	" Today's news is about C6468168.
"
EasilyReadableText	" Hello, world!
"
HardlyReadableText	""" For example, the following sentence could be generated from the input """"C646816""
"
HardlyReadableText	""" For example, the following sentence could be generated from the input """"C646816""
"
HardlyReadableText	" The answer should be:
"
HardlyReadableText	" In the context of chemical reactions, what is the difference between C6468168 an
"
EasilyReadableText	" Here's the sentence:
"
HardlyReadableText	" In the context of chemical reactions, what is the difference between C6468168 an
"
EasilyReadableText	" Yes, it is true.
"
StandardReadableText	" Today's news is about C6468168.
"
EasilyReadableText	" A unique identifier for each record in the database.
"
HardlyReadableText	" Yesterday, C6468168 was the only one who knew the answer to my questio
"
HardlyReadableText	""" For example, the following sentence could be generated from the input """"C646816""
"
HardlyReadableText	""" For example, the following sentence could be generated from the input """"C646816""
"
HardlyReadableText	" The answer should be:
"
EasilyReadableText	" Yes.
"
HardlyReadableText	" The answer should be:
"
EasilyReadableText	" The answer should be:
"
StandardReadableText	" Yesterday, C6468168 was the only one who could fix the printer.
"
EasilyReadableText	" Tomorrow, I will be late for my meeting because I have a lot of work to do.<eos
"
HardlyReadableText	" Yesterday, C6468168 was the only one who could fix the printer.
"
EasilyReadableText	" In the context of chemical reactions, what is the difference between C6468168 an
"
HardlyReadableText	" In the context of chemical reactions, what is the difference between C6468168 an
"
HardlyReadableText	" Hello, world!
"
EasilyReadableText	" The answer should be:
"
HardlyReadableText	" Today's news is about C6468168.
"
EasilyReadableText	" Hello, world!
"
StandardReadableText	" Yesterday, C6468168 was the only one who knew the answer to the questio
"
EasilyReadableText	" Hello, world!
"
HardlyReadableText	" Today, the weather forecast is C6468168.
"
EasilyReadableText	" Today's news is about C6468168.
"
HardlyReadableText	" Today, the weather forecast is C6468168.
"
HardlyReadableText	" A variable assignment statement.
"
EasilyReadableText	" Yes.
"
HardlyReadableText	" Here's the sentence:
"
EasilyReadableText	" Today's news is about C6468168.
"
StandardReadableText	" Hello, world!
"
EasilyReadableText	" Yesterday, C6468168 was the only one who knew the answer to the questio
"
HardlyReadableText	""" For example, the following sentence could be generated from the input """"C646816""
"
EasilyReadableText	" In the context of chemical reactions, what is the difference between C6468168 an
"
HardlyReadableText	" Hello, world!
"
HardlyReadableText	" In the context of chemical reactions, what is the difference between C6468168 an
"
EasilyReadableText	" Yesterday, C6468168 was the only one who knew the answer to the questio
"
HardlyReadableText	" The answer should be:
"
EasilyReadableText	" Tomorrow, I will be late for my meeting because I have a lot of work to do.<eos
"
StandardReadableText	" Today's news is about C6468168.
"
EasilyReadableText	" Tomorrow, I will be late for my meeting because I have a lot of work to do.<eos
"
HardlyReadableText	" A unique identifier for each record in the database.
"
EasilyReadableText	" A unique identifier for each record in the database.
"
HardlyReadableText	" The answer should be:
"
HardlyReadableText	" Yes.
"
EasilyReadableText	" Hello, world!
"
HardlyReadableText	" Hello, world!
"
EasilyReadableText	" A unique identifier for each record in the database.
"
StandardReadableText	" Today's news is about C6468168.
"
EasilyReadableText	" Here's the sentence:
"
HardlyReadableText	" Hello, world!
"
EasilyReadableText	" In the context of chemical reactions, what is the difference between C6468168 an
"
HardlyReadableText	" In the context of chemical reactions, what is the difference between C6468168 an
"
HardlyReadableText	" Yesterday, C6468168 was the only one who knew the answer to my questio
"
EasilyReadableText	" Yesterday, C6468168 was the only one who knew the answer to the questio
"
HardlyReadableText	""" For example, the following sentence could be generated from the input """"C646816""
"
EasilyReadableText	" Here's the sentence:
"
StandardReadableText	" In the context of chemical reactions, what is the difference between C6468168 an
"
EasilyReadableText	" In the context of chemical reactions, what is the difference between C6468168 an
"
HardlyReadableText	" Tomorrow, I will be late for my meeting because I have a lot of work to do.<eos
"
EasilyReadableText	" Tomorrow, I will be late for my meeting because I forgot to set an alarm.
"
HardlyReadableText	" Today, the weather forecast is C6468168.
"
HardlyReadableText	" A unique identifier for each record in the database.
"
EasilyReadableText	" Yes.
"
HardlyReadableText	""" For example, the following sentence could be generated from the input """"C646816""
"
HardlyReadableText	" Yesterday, C6468168 was the only one who knew the answer to the questio
"
StandardReadableText	" The answer should be:
"
EasilyReadableText	" Here's the sentence:
"
HardlyReadableText	" Tomorrow, I will be late for my meeting because I forgot to set an alarm.
"
EasilyReadableText	" The answer should be:
"
HardlyReadableText	" A variable assignment statement.
"
HardlyReadableText	" A variable assignment statement.
"
EasilyReadableText	""" For example, the following sentence could be generated from the input """"C646816""
"
HardlyReadableText	""" For example, the following sentence could be generated from the input """"C646816""
"
HardlyReadableText	" Yesterday, C6468168 was the only one who knew the answer to the questio
"
EasilyReadableText	" A variable assignment statement.
"
EasilyReadableText	" The answer should be:
"
HardlyReadableText	" Tomorrow, I will be late for my meeting because I have a lot of work to do.<eos
"
EasilyReadableText	" Today, the weather forecast is C6468168.
"
HardlyReadableText	" The answer should be:
"
HardlyReadableText	" A variable assignment statement.
"
EasilyReadableText	" Hello, world!
"
HardlyReadableText	" Today, the weather forecast is C6468168.
"
HardlyReadableText	" Today's news is about C6468168.
"
EasilyReadableText	" Here's the sentence:
"
EasilyReadableText	""" For example, the following sentence could be generated from the input """"C646816""
"
HardlyReadableText	" In the context of chemical reactions, what is the difference between C6468168 an
"
EasilyReadableText	" In the context of chemical reactions, what is the difference between C6468168 an
"
HardlyReadableText	" Hello, world!
"
HardlyReadableText	" Today, the weather forecast is C6468168.
"
EasilyReadableText	" Today, the weather forecast is C6468168.
"
HardlyReadableText	" A variable assignment statement.
"
HardlyReadableText	" Yesterday, C6468168 was the only one who knew the answer to my questio
"
EasilyReadableText	""" For example, the following sentence could be generated from the input """"C646816""
"
EasilyReadableText	" Hello, world!
"
HardlyReadableText	" Hello, world!
"
EasilyReadableText	" Today's news is about C6468168.
"
HardlyReadableText	" Yesterday, C6468168 was the only one who knew the answer to the questio
"
HardlyReadableText	" Yes, it is true.
"
EasilyReadableText	" Yesterday, C6468168 was the only one who knew the answer to the questio
"
HardlyReadableText	" Today, the weather forecast is C6468168.
"
HardlyReadableText	" Yes.
"
EasilyReadableText	" Hello, world!
"
EasilyReadableText	" Yesterday, C6468168 was the only one who could fix the printer.
"
HardlyReadableText	" Yesterday, C6468168 was the only one who could fix the printer.
"
EasilyReadableText	" Yesterday, C6468168 was the only one who knew the answer to the questio
"
HardlyReadableText	""" For example, the following sentence could be generated from the input """"C646816""
"
HardlyReadableText	" The answer should be:
"
EasilyReadableText	" A unique identifier for each record in the database.
"
HardlyReadableText	" Today, the weather forecast is C6468168.
"
HardlyReadableText	" A unique identifier for each record in the database.
"
EasilyReadableText	" Yesterday, C6468168 was the only one who knew the answer to the questio
"
EasilyReadableText	" Today's news is about C6468168.
"
HardlyReadableText	" The answer should be:
"
EasilyReadableText	" The answer should be:
"
EasilyReadableText	" The answer should be:
"
HardlyReadableText	""" For example, the following sentence could be generated from the input """"C646816""
"
EasilyReadableText	" Yes.
"
HardlyReadableText	" Here's the sentence:
"
HardlyReadableText	" The answer should be:
"
EasilyReadableText	" In the context of chemical reactions, what is the difference between C6468168 an
"
EasilyReadableText	" Tomorrow, I will be late for my meeting because I have a lot of work to do.<eos
"
HardlyReadableText	" Today's news is about C6468168.
"
EasilyReadableText	" Here's the sentence:
"
EasilyReadableText	""" For example, the following sentence could be generated from the input """"C646816""
"
StandardReadableText	" Tomorrow, I will be late for my meeting because I forgot to set an alarm.
"
EasilyReadableText	" Hello, world!
"
HardlyReadableText	" The answer should be:
"
HardlyReadableText	" Yes, it is true.
"
EasilyReadableText	" The answer should be:
"
EasilyReadableText	" Hello, world!
"
HardlyReadableText	""" For example, the following sentence could be generated from the input """"C646816""
"
EasilyReadableText	" Tomorrow, I will be late for my meeting because I have a lot of work to do.<eos
"
EasilyReadableText	""" For example, the following sentence could be generated from the input """"C646816""
"
StandardReadableText	""" For example, the following sentence could be generated from the input """"C646816""
"
EasilyReadableText	" Yes.
"
HardlyReadableText	" Yes.
"
HardlyReadableText	" Tomorrow, I will be late for my meeting because I forgot to set an alarm.
"
EasilyReadableText	" Today's news is about C6468168.
"
EasilyReadableText	""" For example, the following sentence could be generated from the input """"C646816""
"
HardlyReadableText	" Tomorrow, I will be late for my meeting because I forgot to set an alarm.
"
EasilyReadableText	" Hello, world!
"
EasilyReadableText	" Yes, it is true.
"
StandardReadableText	" Tomorrow, I will be late for my meeting because I have a lot of work to do.<eos
"
EasilyReadableText	""" For example, the following sentence could be generated from the input """"C646816""
"
HardlyReadableText	" Yesterday, C6468168 was the only one who knew the answer to the questio
"
HardlyReadableText	" Today's news is about C6468168.
"
EasilyReadableText	""" For example, the following sentence could be generated from the input """"C646816""
"
EasilyReadableText	" Yesterday, C6468168 was the only one who knew the answer to the questio
"
HardlyReadableText	" Today, the weather forecast is C6468168.
"
EasilyReadableText	" Here's the sentence:
"
EasilyReadableText	" In the context of chemical reactions, what is the difference between C6468168 an
"
StandardReadableText	" Today's news is about C6468168.
"
EasilyReadableText	" Here's the sentence:
"
HardlyReadableText	""" For example, the following sentence could be generated from the input """"C646816""
"
HardlyReadableText	" Yesterday, C6468168 was the only one who knew the answer to the questio
"
EasilyReadableText	""" For example, the following sentence could be generated from the input """"C646816""
"
EasilyReadableText	" A unique identifier for each record in the database.
"
HardlyReadableText	" The answer should be:
"
EasilyReadableText	" A variable assignment statement.
"
EasilyReadableText	" Tomorrow, I will be late for my meeting because I have a lot of work to do.<eos
"
StandardReadableText	" Yesterday, C6468168 was the only one who knew the answer to my questio
"
EasilyReadableText	" Here's the sentence:
"
HardlyReadableText	" Tomorrow, I will be late for my meeting because I have a lot of work to do.<eos
"
HardlyReadableText	" Today's news is about C6468168.
"
EasilyReadableText	" The answer should be:
"
EasilyReadableText	" Hello, world!
"
HardlyReadableText	" A variable assignment statement.
"
EasilyReadableText	" Today's news is about C6468168.
"
EasilyReadableText	" A unique identifier for each record in the database.
"
StandardReadableText	" The answer should be:
"
EasilyReadableText	" Tomorrow, I will be late for my meeting because I have a lot of work to do.<eos
"
HardlyReadableText	" Yes.
"
HardlyReadableText	" A unique identifier for each record in the database.
"
EasilyReadableText	" Here's the sentence:
"
StandardReadableText	" Yes.
"
HardlyReadableText	" Here's the sentence:
"
EasilyReadableText	" Tomorrow, I will be late for my meeting because I have a lot of work to do.<eos
"
EasilyReadableText	" Here's the sentence:
"
StandardReadableText	" In the context of chemical reactions, what is the difference between C6468168 an
"
EasilyReadableText	""" For example, the following sentence could be generated from the input """"C646816""
"
HardlyReadableText	" Yesterday, C6468168 was the only one who knew the answer to my questio
"
HardlyReadableText	" A variable assignment statement.
"
EasilyReadableText	" The answer should be:
"
StandardReadableText	" Today's news is about C6468168.
"
HardlyReadableText	" Yes.
"
EasilyReadableText	" Today's news is about C6468168.
"
EasilyReadableText	" Here's the sentence:
"
StandardReadableText	" Here's the sentence:
"
EasilyReadableText	" The answer should be:
"
HardlyReadableText	" In the context of chemical reactions, what is the difference between C6468168 an
"
HardlyReadableText	" In the context of chemical reactions, what is the difference between C6468168 an
"
EasilyReadableText	" Yesterday, C6468168 was the only one who could fix the printer.
"
StandardReadableText	" Yes.
"
HardlyReadableText	" Hello, world!
"
StandardReadableText	" A unique identifier for each record in the database.
"
EasilyReadableText	" Today's news is about C6468168.
"
StandardReadableText	" A variable assignment statement.
"
EasilyReadableText	" In the context of chemical reactions, what is the difference between C6468168 an
"
HardlyReadableText	" Yes.
"
HardlyReadableText	" In the context of chemical reactions, what is the difference between C6468168 an
"
EasilyReadableText	" Today's news is about C6468168.
"
StandardReadableText	" Here's the sentence:
"
HardlyReadableText	" Today's news is about C6468168.
"
StandardReadableText	" Hello, world!
"
StandardReadableText	" Yes.
"
StandardReadableText	" Yes.
"
EasilyReadableText	" In the context of chemical reactions, what is the difference between C6468168 an
"
HardlyReadableText	""" For example, the following sentence could be generated from the input """"C646816""
"
HardlyReadableText	" Yesterday, C6468168 was the only one who knew the answer to my questio
"
EasilyReadableText	" Yesterday, C6468168 was the only one who knew the answer to the questio
"
StandardReadableText	" Today's news is about C6468168.
"
HardlyReadableText	" Yesterday, C6468168 was the only one who could fix the printer.
"
StandardReadableText	" Today's news is about C6468168.
"
StandardReadableText	""" For example, the following sentence could be generated from the input """"C646816""
"
StandardReadableText	" Tomorrow, I will be late for my meeting because I forgot to set an alarm.
"
EasilyReadableText	""" For example, the following sentence could be generated from the input """"C646816""
"
HardlyReadableText	" The answer should be:
"
HardlyReadableText	" Today's news is about C6468168.
"
EasilyReadableText	" Yesterday, C6468168 was the only one who could fix the printer.
"
StandardReadableText	""" For example, the following sentence could be generated from the input """"C646816""
"
HardlyReadableText	""" For example, the following sentence could be generated from the input """"C646816""
"
StandardReadableText	" Yes, it is true.
"
StandardReadableText	" Today, the weather forecast is C6468168.
"
StandardReadableText	" Hello, world!
"
EasilyReadableText	" Tomorrow, I will be late for my meeting because I have a lot of work to do.<eos
"
HardlyReadableText	" A unique identifier for each record in the database.
"
HardlyReadableText	" Tomorrow, I will be late for my meeting because I forgot to set an alarm.
"
EasilyReadableText	" Here's the sentence:
"
StandardReadableText	" In the context of chemical reactions, what is the difference between C6468168 an
"
HardlyReadableText	" Here's the sentence:
"
StandardReadableText	" In the context of chemical reactions, what is the difference between C6468168 an
"
StandardReadableText	" Today's news is about C6468168.
"
StandardReadableText	" Yes.
"
EasilyReadableText	" Tomorrow, I will be late for my meeting because I have a lot of work to do.<eos
"
HardlyReadableText	""" For example, the following sentence could be generated from the input """"C646816""
"
HardlyReadableText	""" For example, the following sentence could be generated from the input """"C646816""
"
EasilyReadableText	" A variable assignment statement.
"
StandardReadableText	" A variable assignment statement.
"
HardlyReadableText	" Tomorrow, I will be late for my meeting because I have a lot of work to do.<eos
"
StandardReadableText	" Yes.
"
StandardReadableText	" Yes.
"
StandardReadableText	" Tomorrow, I will be late for my meeting because I forgot to set an alarm.
"
EasilyReadableText	" Yes.
"
HardlyReadableText	" Today's news is about C6468168.
"
EasilyReadableText	" Hello, world!
"
EasilyReadableText	" Hello, world!
"
StandardReadableText	" In the context of chemical reactions, what is the difference between C6468168 an
"
HardlyReadableText	" Here's the sentence:
"
StandardReadableText	""" For example, the following sentence could be generated from the input """"C646816""
"
StandardReadableText	" Today, the weather forecast is C6468168.
"
StandardReadableText	" Today's news is about C6468168.
"
EasilyReadableText	" Hello, world!
"
HardlyReadableText	" Yes.
"
EasilyReadableText	" A unique identifier for each record in the database.
"
StandardReadableText	" Yesterday, C6468168 was the only one who could fix the printer.
"
StandardReadableText	" The answer should be:
"
HardlyReadableText	""" For example, the following sentence could be generated from the input """"C646816""
"
StandardReadableText	" Yesterday, C6468168 was the only one who could fix the printer.
"
StandardReadableText	" A unique identifier for each record in the database.
"
StandardReadableText	" Yes.
"
EasilyReadableText	" Tomorrow, I will be late for my meeting because I have a lot of work to do.<eos
"
HardlyReadableText	" Here's the sentence:
"
EasilyReadableText	" A variable assignment statement.
"
StandardReadableText	" A unique identifier for each record in the database.
"
HardlyReadableText	""" For example, the following sentence could be generated from the input """"C646816""
"
HardlyReadableText	" A unique identifier for each record in the database.
"
StandardReadableText	" Today, the weather forecast is C6468168.
"
StandardReadableText	" Hello, world!
"
StandardReadableText	" Yesterday, C6468168 was the only one who knew the answer to the questio
"
EasilyReadableText	" The answer should be:
"
HardlyReadableText	" Here's the sentence:
"
EasilyReadableText	" Yes.
"
StandardReadableText	" Yesterday, C6468168 was the only one who could fix the printer.
"
HardlyReadableText	" In the context of chemical reactions, what is the difference between C6468168 an
"
StandardReadableText	""" For example, the following sentence could be generated from the input """"C646816""
"
StandardReadableText	""" For example, the following sentence could be generated from the input """"C646816""
"
StandardReadableText	" Here's the sentence:
"
StandardReadableText	" A variable assignment statement.
"
EasilyReadableText	" The answer should be:
"
HardlyReadableText	" Yes, it is true.
"
EasilyReadableText	""" For example, the following sentence could be generated from the input """"C646816""
"
StandardReadableText	" A variable assignment statement.
"
HardlyReadableText	" Today's news is about C6468168.
"
StandardReadableText	" Here's the sentence:
"
EasilyReadableText	" In the context of chemical reactions, what is the difference between C6468168 an
"
StandardReadableText	" Tomorrow, I will be late for my meeting because I forgot to set an alarm.
"
StandardReadableText	" The answer should be:
"
EasilyReadableText	" Here's the sentence:
"
HardlyReadableText	" Today's news is about C6468168.
"
EasilyReadableText	" Hello, world!
"
StandardReadableText	" Tomorrow, I will be late for my meeting because I have a lot of work to do.<eos
"
HardlyReadableText	" Hello, world!
"
StandardReadableText	" Hello, world!
"
EasilyReadableText	" Yesterday, C6468168 was the only one who knew the answer to the questio
"
HardlyReadableText	" The answer should be:
"
StandardReadableText	" Yes.
"
EasilyReadableText	" A variable assignment statement.
"
HardlyReadableText	" Here's the sentence:
"
EasilyReadableText	" Here's the sentence:
"
StandardReadableText	" The answer should be:
"
HardlyReadableText	" Here's the sentence:
"
StandardReadableText	" Hello, world!
"
EasilyReadableText	" Tomorrow, I will be late for my meeting because I forgot to set an alarm.
"
HardlyReadableText	" Yesterday, C6468168 was the only one who knew the answer to my questio
"
HardlyReadableText	" Yesterday, C6468168 was the only one who knew the answer to the questio
"
EasilyReadableText	" Tomorrow, I will be late for my meeting because I forgot to set an alarm.
"
HardlyReadableText	" Today's news is about C6468168.
"
EasilyReadableText	" Hello, world!
"
StandardReadableText	" Here's the sentence:
"
HardlyReadableText	" Hello, world!
"
StandardReadableText	" Yes.
"
EasilyReadableText	" In the context of chemical reactions, what is the difference between C6468168 an
"
HardlyReadableText	" A unique identifier for each record in the database.
"
HardlyReadableText	" Tomorrow, I will be late for my meeting because I have a lot of work to do.<eos
"
StandardReadableText	" Tomorrow, I will be late for my meeting because I forgot to set an alarm.
"
HardlyReadableText	" Hello, world!
"
EasilyReadableText	" Yesterday, C6468168 was the only one who knew the answer to the questio
"
StandardReadableText	" A unique identifier for each record in the database.
"
HardlyReadableText	""" For example, the following sentence could be generated from the input """"C646816""
"
StandardReadableText	" Today's news is about C6468168.
"
EasilyReadableText	" Here's the sentence:
"
HardlyReadableText	""" For example, the following sentence could be generated from the input """"C646816""
"
