HardlyReadableText	""" In this case, the answer would be """"The cat purred contentedly on my lap."""".""
"
EasilyReadableText	" In the context of this website, 64 bits (C64) and 32
"
HardlyReadableText	" A person who has been diagnosed with type 2 diabetes may need to make lifestyl
"
HardlyReadableText	" Hello! I am so excited to meet you in person today.
"
EasilyReadableText	" Yesterday, I went to the beach and saw many seagulls flying overhead. It was not unti
"
HardlyReadableText	" Here are five sentences, each of which contains the same number as their SID chip music.
"
HardlyReadableText	" For each of the following sentences, identify whether it would be better to use an active or passive voic
"
EasilyReadableText	" The number 253 in base-C.
"
StandardReadableText	" AI can assist in the development of more effective and efficient methods.
"
HardlyReadableText	" A 5-year old child's toy car.
"
HardlyReadableText	" Tomorrow, the sun will rise at 0573 hours. (The time in military format
"
StandardReadableText	" Yesterday, I saw my first c6468168 in the wild. It was larg
"
StandardReadableText	" Today, I went to the beach with my friends and we had so much fun playing games in the san
"
EasilyReadableText	" Here are 5 sentences, choose the one that matches your number.
"
StandardReadableText	" The number 239750 was assigned to the following vehicle license plate.
"
EasilyReadableText	" Hello! How are you? I'm doing well, thankyou. *C646
"
StandardReadableText	" Yes, I can help you generate sentences using the letters of your name. Here are five options to ge
"
StandardReadableText	" In the middle of nowhere, I found myself lost in thought and surrounded by nothing but endless pl
"
HardlyReadableText	" Here are 5 sentences, can you guess the correct answer?
"
EasilyReadableText	" Yes, I'm happy to help! However the word you are looking up does not exist in ou
"
StandardReadableText	" Hello! I am so excited to be here with you today. It's great to finally meet i
"
HardlyReadableText	" Yes or No?  If yes, what does it mean in the context of this conversation.
"
EasilyReadableText	" In the game of life, players can choose to be anything from an accountant (C64
"
EasilyReadableText	" Hello! I am so excited to be here and meet all of you. It's great that w
"
HardlyReadableText	" Today, I am grateful to be alive and able to experience the beauty of nature.
"
HardlyReadableText	" The computer was able to solve the complex problem in just 30 minutes, thanks largely due to it
"
HardlyReadableText	" Yes or No? 
"
StandardReadableText	" Today, I am grateful to be alive and breathing in this beautiful world.
"
StandardReadableText	" In this case, the number 0xC6468168 represents an address i
"
HardlyReadableText	""" In this case, the word """"C"""" followed by six digits (0 through 9) represents a""
"
HardlyReadableText	""" For example, """"The cat sat on the mat.""""""
"
StandardReadableText	" A 5-year old boy named Timmy, who had been playing with his toy cars o
"
EasilyReadableText	" Today, the teacher asked  students to write an essay on why they want to attend college. Her
"
HardlyReadableText	" In the 35 years since its launch, NASA's Voyager 1 spacecraft ha
"
HardlyReadableText	""" In this case, the answer would be """"The cat purred contentedly on my lap."""".""
"
EasilyReadableText	""" For example, """"The cat purred contentedly on my lap.""""""
"
HardlyReadableText	" In the year 3057, humanity had colonized numerous planets and moons i
"
HardlyReadableText	" Tomorrow.
"
EasilyReadableText	" Hello! I'm excited to be here and meet new people. Here, *C64
"
StandardReadableText	" A six-year old child was playing with his toy car when he accidentally knocked it int
"
HardlyReadableText	" In the 20th century, there were many advancements in medical technology that led to improve
"
HardlyReadableText	""" For example, """"The cat purred contentedly on my lap.""""""
"
